"variable","aror","asd"
"Aces Won",9.720,6.497
"Doubles Conceded",3.35,2.68
"Winner Points Won",38.16,15.35
"Total Serve Points Won", 81.16, 18.43
"Error Points Conceded",29.55,16.95
"Total Points Won",119.46,30.36
"First Serve Won",57.47,12.61
"Second Serve Won",25.52,8.19
